date,station_name_ja,prec_no,block_no,mean_temperature_c,max_temperature_c,min_temperature_c,mean_vapor_pressure_hpa,mean_relative_humidity_pct,min_relative_humidity_pct,thi_daily_mean,temperature_quality_mark,humidity_quality_mark,source_kind,source_url
2020-01-16,千葉,45,47682,7.2,10.2,3.5,4.2,42.0,27.0,49.12,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-17,千葉,45,47682,7.4,10.7,4.9,5.9,57.0,48.0,48.32,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-18,千葉,45,47682,4.1,6.7,1.7,6.4,78.0,62.0,41.63,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-19,千葉,45,47682,7.2,10.4,3.3,5.2,53.0,30.0,48.33,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-20,千葉,45,47682,8.8,13.3,4.0,6.0,54.0,33.0,50.41,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-21,千葉,45,47682,8.1,11.9,5.1,3.9,37.0,23.0,50.54,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-22,千葉,45,47682,5.5,7.7,3.3,4.4,48.0,37.0,46.5,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-23,千葉,45,47682,6.4,8.1,5.4,7.6,78.0,55.0,45.27,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-24,千葉,45,47682,10.6,14.2,8.0,9.3,73.0,40.0,52.11,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-25,千葉,45,47682,8.0,10.9,5.4,4.9,45.0,31.0,49.91,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-26,千葉,45,47682,5.4,7.2,2.5,6.2,70.0,47.0,44.41,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-27,千葉,45,47682,5.9,7.8,3.9,5.6,61.0,53.0,45.92,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-28,千葉,45,47682,6.6,13.2,2.5,9.3,92.0,86.0,44.5,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-29,千葉,45,47682,13.2,17.4,8.3,11.8,78.0,59.0,56.03,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-30,千葉,45,47682,12.5,15.7,8.6,8.0,56.0,35.0,55.35,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-31,千葉,45,47682,9.0,11.4,6.4,3.8,33.0,22.0,51.81,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-02-01,千葉,45,47682,8.4,12.9,4.0,3.6,34.0,21.0,51.07,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-02,千葉,45,47682,8.4,13.1,3.9,4.3,40.0,25.0,50.71,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-03,千葉,45,47682,9.8,13.2,5.6,6.4,53.0,47.0,51.8,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-04,千葉,45,47682,8.3,11.8,6.1,5.4,50.0,28.0,49.98,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-05,千葉,45,47682,8.0,13.7,3.8,5.3,51.0,24.0,49.53,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-06,千葉,45,47682,3.2,6.4,-0.2,2.0,26.0,12.0,46.0,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-07,千葉,45,47682,2.8,6.9,-1.7,3.2,42.0,26.0,43.73,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-08,千葉,45,47682,6.4,12.4,2.2,3.9,41.0,26.0,48.22,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-09,千葉,45,47682,4.2,8.0,1.2,2.4,30.0,15.0,46.66,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-10,千葉,45,47682,4.9,9.2,-0.1,3.8,44.0,32.0,46.11,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-11,千葉,45,47682,6.7,11.6,2.5,3.8,40.0,21.0,48.66,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-12,千葉,45,47682,9.6,15.2,3.3,6.6,52.0,35.0,51.58,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-13,千葉,45,47682,13.2,16.6,7.4,12.2,81.0,62.0,55.99,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-14,千葉,45,47682,13.0,16.2,9.8,11.3,76.0,54.0,55.74,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-15,千葉,45,47682,12.7,15.8,8.5,9.4,65.0,44.0,55.46,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-16,千葉,45,47682,10.6,12.3,9.1,11.5,90.0,71.0,51.46,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-17,千葉,45,47682,12.1,16.3,7.7,8.7,63.0,30.0,54.64,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-18,千葉,45,47682,8.3,12.1,4.6,3.6,34.0,18.0,50.95,),),official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-19,千葉,45,47682,8.5,12.2,4.7,4.6,41.0,27.0,50.77,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-20,千葉,45,47682,9.4,13.2,4.7,7.2,61.0,42.0,50.87,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-21,千葉,45,47682,10.1,14.5,6.6,7.1,58.0,39.0,51.99,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-22,千葉,45,47682,13.8,17.8,8.3,11.1,71.0,47.0,57.03,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-23,千葉,45,47682,11.5,15.7,7.4,3.8,28.0,15.0,54.8,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-24,千葉,45,47682,10.4,14.1,6.6,5.4,42.0,27.0,53.04,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-25,千葉,45,47682,10.8,14.9,6.7,7.8,61.0,40.0,52.85,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-26,千葉,45,47682,8.7,9.8,7.4,9.0,80.0,67.0,48.8,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-27,千葉,45,47682,7.0,11.7,4.0,4.6,46.0,18.0,48.58,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-28,千葉,45,47682,6.7,11.1,2.2,3.9,40.0,26.0,48.66,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-02-29,千葉,45,47682,9.9,13.8,6.8,7.5,62.0,39.0,51.53,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=2&day=&view=a2
2020-03-01,千葉,45,47682,11.9,16.4,8.2,8.4,62.0,33.0,54.38,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-02,千葉,45,47682,8.0,11.0,6.5,8.8,83.0,61.0,47.48,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-03,千葉,45,47682,11.1,16.2,6.0,7.1,57.0,27.0,53.4,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-04,千葉,45,47682,9.7,10.8,8.6,9.8,82.0,56.0,50.31,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-05,千葉,45,47682,9.8,13.5,7.5,5.7,49.0,16.0,51.98,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-06,千葉,45,47682,10.0,14.2,6.7,3.9,32.0,19.0,52.99,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-07,千葉,45,47682,8.0,10.5,5.5,6.3,59.0,45.0,49.02,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-08,千葉,45,47682,7.9,9.8,6.1,8.9,83.0,72.0,47.32,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-09,千葉,45,47682,12.8,18.0,8.6,11.8,79.0,65.0,55.38,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-10,千葉,45,47682,15.3,19.4,12.5,16.2,93.0,81.0,59.48,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-11,千葉,45,47682,17.0,20.0,11.7,9.3,48.0,29.0,61.28,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-12,千葉,45,47682,11.8,15.6,8.2,5.7,41.0,23.0,54.78,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-13,千葉,45,47682,13.2,17.9,8.0,8.9,60.0,41.0,56.25,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-14,千葉,45,47682,6.0,13.6,2.0,7.6,82.0,62.0,44.3,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-15,千葉,45,47682,7.6,11.3,3.3,6.1,59.0,41.0,48.46,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-16,千葉,45,47682,7.9,13.7,4.3,5.0,47.0,22.0,49.65,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-17,千葉,45,47682,8.4,12.8,2.2,4.8,42.0,28.0,50.59,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-18,千葉,45,47682,12.8,17.5,7.7,7.0,49.0,25.0,55.87,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-19,千葉,45,47682,14.6,20.9,7.9,10.8,64.0,39.0,58.22,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-20,千葉,45,47682,15.3,18.5,11.5,7.2,41.0,16.0,59.04,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-21,千葉,45,47682,14.4,20.0,9.0,6.7,40.0,25.0,57.95,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-22,千葉,45,47682,17.0,20.9,12.9,10.9,57.0,35.0,61.51,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-23,千葉,45,47682,10.4,13.5,8.4,6.7,52.0,43.0,52.64,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-24,千葉,45,47682,8.7,12.5,5.5,4.0,37.0,17.0,51.24,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-25,千葉,45,47682,9.7,14.6,3.6,5.1,43.0,19.0,52.14,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-26,千葉,45,47682,13.2,17.0,7.8,7.7,50.0,25.0,56.38,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-27,千葉,45,47682,16.4,20.3,11.0,12.9,69.0,56.0,60.92,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-28,千葉,45,47682,15.7,20.5,8.0,15.2,83.0,72.0,60.05,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-29,千葉,45,47682,4.7,8.1,1.5,7.4,86.0,74.0,41.81,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-30,千葉,45,47682,8.2,11.3,4.4,6.8,63.0,53.0,49.05,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-03-31,千葉,45,47682,10.8,13.2,8.3,9.4,72.0,56.0,52.45,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=3&day=&view=a2
2020-04-01,千葉,45,47682,12.3,14.2,10.1,13.2,92.0,82.0,54.31,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-02,千葉,45,47682,14.8,19.4,9.8,6.0,36.0,22.0,58.41,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-03,千葉,45,47682,12.9,18.2,7.2,7.3,48.0,28.0,56.02,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-04,千葉,45,47682,16.2,21.5,11.6,10.9,60.0,24.0,60.46,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-05,千葉,45,47682,11.4,16.6,7.5,9.2,68.0,52.0,53.48,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-06,千葉,45,47682,12.6,16.5,7.4,6.2,43.0,21.0,55.72,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-07,千葉,45,47682,12.4,17.4,8.2,7.0,48.0,34.0,55.37,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-08,千葉,45,47682,14.9,19.4,8.6,9.6,58.0,35.0,58.63,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-09,千葉,45,47682,13.6,18.8,8.9,8.7,57.0,29.0,56.84,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-10,千葉,45,47682,11.5,17.2,7.0,5.3,42.0,14.0,54.39,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-11,千葉,45,47682,11.4,16.2,7.5,5.6,41.0,26.0,54.3,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-12,千葉,45,47682,11.1,14.5,8.1,9.9,76.0,54.0,52.77,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-13,千葉,45,47682,9.3,12.1,5.3,10.5,89.0,79.0,49.3,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-14,千葉,45,47682,11.8,17.3,5.9,5.0,39.0,21.0,54.84,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-15,千葉,45,47682,14.6,20.0,8.3,7.2,42.0,31.0,58.19,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-16,千葉,45,47682,12.1,15.1,9.4,8.6,61.0,50.0,54.69,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-17,千葉,45,47682,12.7,16.8,8.8,8.3,56.0,44.0,55.62,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-18,千葉,45,47682,14.3,17.0,11.9,13.6,83.0,61.0,57.76,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-19,千葉,45,47682,15.2,22.0,10.1,9.1,55.0,29.0,59.02,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-20,千葉,45,47682,10.5,12.3,9.0,11.2,88.0,72.0,51.37,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-21,千葉,45,47682,15.1,18.5,11.3,12.7,75.0,54.0,59.02,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-22,千葉,45,47682,13.3,19.7,8.7,10.1,68.0,35.0,56.3,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-23,千葉,45,47682,12.5,16.2,8.6,7.2,51.0,28.0,55.44,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-24,千葉,45,47682,12.3,16.2,7.3,8.0,56.0,34.0,55.07,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-25,千葉,45,47682,13.0,18.0,6.4,8.2,57.0,26.0,56.01,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-26,千葉,45,47682,18.7,22.3,15.5,11.0,51.0,32.0,63.6,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-27,千葉,45,47682,13.3,17.7,10.0,10.3,69.0,45.0,56.29,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-28,千葉,45,47682,13.6,18.5,9.8,10.9,71.0,44.0,56.72,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-29,千葉,45,47682,15.9,19.6,11.4,10.1,57.0,40.0,60.0,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
2020-04-30,千葉,45,47682,18.3,23.1,13.0,13.1,62.0,39.0,63.49,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=4&day=&view=a2
